Millis,INA260 Current (mA),INA260 Voltage (mV),INA260 Power (mW),PicoTemp Temp (C),MTK3339 Year,MTK3339 Month,MTK3339 Day,MTK3339 Hour,MTK3339 Minute,MTK3339 Second,MTK3339 Latitude,MTK3339 Longitude,MTK3339 Speed,MTK3339 Heading,MTK3339 Altitude,MTK3339 Satellites,ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,TMP117 Temp (C),UV_Sensor_O UVA2 (nm),UV_Sensor_O UVB2 (nm),UV_Sensor_O UVC2 (nm),ENS160_O AQI,ENS160_O TVOC (ppb),ENS160_O eCO2 (ppm),BMP390_O Temp (C),BMP390_O Pressure (Pa),BMP390_O Altitude (m),TMP117_O Temp_O (C),SHTC3_O Temp (C),SHTC3_O Rel Hum (%),Ozone Conc (ppb),Analog_Temp_0 ADC_val
433,,,,,,,,,,,,,,,,,-3.7636849880218506,9.500192642211914,2.8203697204589844,-0.30170783400535583,0.13515660166740417,-0.10056927800178528,-5.699999809265137,25.649999618530273,26.399999618530273,209.4326171875,,,,,,,,,,,,,,,,,,,,,
947,,,,,,,,,,,,,,,,,-4.041412353515625,8.461109161376953,1.8291701078414917,0.11067941784858704,0.14367039501667023,-0.009578026831150055,-4.349999904632568,25.049999237060547,27.299999237060547,209.09716796875,,,,,,,,0.0,0.0,0.0,,,,,,,,11.670000076293945,56.529998779296875,,679
1477,938.75,3385.0,3170.0,16.37129020690918,,,,,,,,,,,,,-3.9695863723754883,8.33182144165039,1.2832920551300049,0.23040474951267242,0.03618365526199341,0.2756343185901642,-2.8499999046325684,26.549999237060547,21.899999618530273,209.6243133544922,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,11.739999771118164,56.529998779296875,,672
2149,,,,,2020,8,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0,-2.2697031497955322,9.667786598205566,0.5746083855628967,0.07715632766485214,0.6853610277175903,-0.05533970892429352,-14.25,24.899999618530273,26.399999618530273,209.6243133544922,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,11.760000228881836,56.529998779296875,,668
3296,917.5,3393.75,3110.0,15.435001373291016,,,,,,,,,,,,,-1.9153614044189453,9.950302124023438,-0.8140285611152649,0.2985151410102844,-0.09631238132715225,0.2250836193561554,-16.350000381469727,23.700000762939453,25.649999618530273,209.6243133544922,,,,,,,,0.0,0.0,0.0,,,,,,,,11.729999542236328,56.54999923706055,,672
3829,,,,,,,,,,,,,,,,,-1.1252747774124146,9.476250648498535,-1.2689268589019775,0.06598196178674698,0.22348728775978088,0.2766985297203064,-21.149999618530273,20.549999237060547,22.799999237060547,209.4326171875,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,11.789999961853027,56.58000183105469,,672
4462,907.5,3400.0,3080.0,15.435001373291016,,,,,,,,,,,,,-0.2825157940387726,9.888052940368652,-1.6424223184585571,-0.20539546012878418,0.3825889527797699,0.05800027400255203,-20.700000762939453,20.399999618530273,21.899999618530273,209.6243133544922,,,,,,,,0.0,0.0,0.0,,,,,,,,11.829999923706055,56.58000183105469,,669
4994,,,,,2020,8,2,0,0,5,0.0,0.0,0.0,0.0,0.0,0,-2.1547815799713135,9.050082206726074,-1.5418659448623657,-0.6603516936302185,0.8077468872070312,0.5778742432594299,-17.399999618530273,23.100000381469727,24.75,209.57638549804688,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,11.84000015258789,56.619998931884766,,670
6342,901.25,3398.75,3060.0,17.307579040527344,,,,,,,,,,,,,-1.2545616626739502,10.074800491333008,-1.1252747774124146,-0.05055069550871849,0.5730852484703064,-0.23679010570049286,-21.0,21.149999618530273,24.0,209.81600952148438,,,,,,,,0.0,0.0,0.0,,,,,,,,11.859999656677246,56.630001068115234,,672
6875,,,,,,,,,,,,,,,,,0.07661445438861847,10.103530883789062,-3.423708438873291,0.2740379869937897,-0.06757830083370209,0.3847173750400543,-22.5,20.100000381469727,25.5,209.57638549804688,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,11.859999656677246,56.630001068115234,,674
