Millis,INA260 Current (mA),INA260 Voltage (mV),INA260 Power (mW),PicoTemp Temp (C),MTK3339 Year,MTK3339 Month,MTK3339 Day,MTK3339 Hour,MTK3339 Minute,MTK3339 Second,MTK3339 Latitude,MTK3339 Longitude,MTK3339 Speed,MTK3339 Heading,MTK3339 Altitude,MTK3339 Satellites,ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,TMP117 Temp (C),UV_Sensor_O UVA2 (nm),UV_Sensor_O UVB2 (nm),UV_Sensor_O UVC2 (nm),ENS160_O AQI,ENS160_O TVOC (ppb),ENS160_O eCO2 (ppm),BMP390_O Temp (C),BMP390_O Pressure (Pa),BMP390_O Altitude (m),TMP117_O Temp_O (C),SHTC3_O Temp (C),SHTC3_O Rel Hum (%),Ozone Conc (ppb),Analog_Temp_0 ADC_val
433,,,,,,,,,,,,,,,,,-2.6384103298187256,9.32302188873291,-0.42616790533065796,-0.009578026831150055,0.014367039315402508,0.02766985446214676,-13.199999809265137,27.0,32.099998474121094,208.95339965820312,,,,,,,,,,,,,,,,,,,,,
947,,,,,,,,,,,,,,,,,-2.557007312774658,9.524134635925293,-0.14844051003456116,-0.06651407480239868,-0.028201965615153313,-0.02766985446214676,-14.699999809265137,25.799999237060547,32.849998474121094,209.0492401123047,,,,,,,,0.0,0.0,0.0,,,,,,,,11.5,56.439998626708984,,673
1477,893.75,3435.0,3070.0,15.435001373291016,,,,,,,,,,,,,-2.7724854946136475,9.50498104095459,-0.023942016065120697,-0.005321125965565443,0.012770702131092548,-0.14952364563941956,-13.050000190734863,26.100000381469727,30.149999618530273,209.28884887695312,2001,3,0,0,2,21,,0.0,0.0,0.0,,,,,,,,11.5,56.41999816894531,,665
2150,,,,,2020,8,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0,-1.9297266006469727,9.715670585632324,0.3926490843296051,0.06225717440247536,-0.09365181624889374,-0.05001858249306679,-17.399999618530273,24.75,31.799999237060547,209.4805450439453,2001,3,0,0,2,21,,0.0,0.0,0.0,,,,,,,,11.479999542236328,56.40999984741211,,670
3297,936.25,3416.25,3200.0,15.903145790100098,,,,,,,,,,,,,-2.676717519760132,9.457097053527832,0.2106897532939911,0.11493631452322006,0.09844082593917847,-0.17080813646316528,-12.75,26.100000381469727,28.200000762939453,209.4805450439453,,,,,,,,0.0,0.0,0.0,,,,,,,,11.520000457763672,56.41999816894531,,669
3830,,,,,,,,,,,,,,,,,-2.849100112915039,9.519346237182617,-0.1388636976480484,0.11387208849191666,-0.003192675532773137,0.19741377234458923,-12.899999618530273,23.549999237060547,28.5,209.4805450439453,2001,3,0,0,2,21,,0.0,0.0,0.0,,,,,,,,11.539999961853027,56.40999984741211,,670
4463,938.75,3412.5,3200.0,14.498747825622559,,,,,,,,,,,,,-2.9305028915405273,9.624691009521484,0.043095629662275314,-0.0707709789276123,-0.23838643729686737,-0.11387208849191666,-12.0,24.149999618530273,23.850000381469727,209.4805450439453,,,,,,,,0.0,0.0,0.0,,,,,,,,11.579999923706055,56.40999984741211,,668
4995,,,,,2020,8,2,0,0,5,0.0,0.0,0.0,0.0,0.0,0,-1.1827356815338135,10.1753568649292,-0.9720458984375,0.06811041384935379,0.10163349658250809,0.06385350972414017,-22.350000381469727,19.049999237060547,18.0,209.38470458984375,2001,3,0,0,2,21,,0.0,0.0,0.0,,,,,,,,11.569999694824219,56.400001525878906,,678
6344,872.5,3437.5,3000.0,16.37129020690918,,,,,,,,,,,,,0.014365210197865963,9.81143856048584,-1.3694833517074585,0.042569007724523544,0.4177083969116211,0.040972672402858734,-24.0,18.149999618530273,20.100000381469727,209.6243133544922,,,,,,,,0.0,0.0,0.0,,,,,,,,11.569999694824219,56.43000030517578,,673
6877,,,,,,,,,,,,,,,,,0.6512228846549988,9.093177795410156,-1.1635819673538208,-0.13249602913856506,-0.10110139101743698,0.0686425194144249,-26.100000381469727,17.850000381469727,21.75,209.57638549804688,2001,3,0,0,2,21,,0.0,0.0,0.0,,,,,,,,11.600000381469727,56.41999816894531,,671
7409,650.0,3548.75,2300.0,14.030603408813477,,,,,,,,,,,,,0.14844051003456116,10.189722061157227,-1.7956513166427612,0.07183519750833511,0.13036759197711945,-0.11227575689554214,-24.149999618530273,18.75,22.049999237060547,209.6243133544922,,,,,,,,0.0,0.0,0.0,,,,,,,,11.579999923706055,56.439998626708984,,666
8042,,,,,2020,8,8,17,1,27,0.0,0.0,0.0,0.0,0.0,0,-0.9433154463768005,9.911994934082031,-1.699883222579956,-0.711434543132782,0.14792729914188385,-0.22242306172847748,-21.600000381469727,18.75,18.75,209.4805450439453,2001,3,0,0,2,21,,0.0,0.0,0.0,,,,,,,,11.609999656677246,56.459999084472656,,671
9088,968.75,3395.0,3290.0,17.77568817138672,,,,,,,,,,,,,-1.460463047027588,9.375694274902344,2.4372973442077637,-0.21869827806949615,-0.32512080669403076,-0.2782948911190033,-18.0,23.850000381469727,34.349998474121094,209.4805450439453,,,,,,,,0.0,0.0,0.0,,,,,,,,11.619999885559082,56.459999084472656,,669
9621,,,,,,,,,,,,,,,,,-1.886630892753601,8.939949035644531,3.7876269817352295,0.1718723624944687,0.0867343544960022,-0.4331396520137787,-13.800000190734863,22.200000762939453,38.54999923706055,209.91184997558594,2001,3,0,0,2,21,,0.0,0.0,0.0,,,,,,,,11.630000114440918,56.47999954223633,,667
10152,932.5,3407.5,3170.0,16.37129020690918,,,,,,,,,,,,,-2.7916390895843506,8.983044624328613,3.0358476638793945,0.23040474951267242,0.08460589498281479,0.03831210732460022,-10.649999618530273,25.049999237060547,34.650001525878906,209.91184997558594,,,,,,,,0.0,0.0,0.0,,,,,,,,11.630000114440918,56.459999084472656,,669
10684,,,,,2020,8,8,17,1,30,0.0,0.0,0.0,0.0,0.0,0,-2.6815059185028076,9.169792175292969,2.169146776199341,-0.15271630883216858,0.04044055566191673,-0.09418392926454544,-12.149999618530273,25.5,30.600000381469727,209.57638549804688,2001,3,0,0,2,21,,0.0,0.0,0.0,,,,,,,,11.630000114440918,56.540000915527344,,671
12034,890.0,3423.75,3050.0,15.435001373291016,,,,,,,,,,,,,-2.849100112915039,9.102754592895508,2.1978771686553955,-0.01489915233105421,0.02075239084661007,-0.07130308449268341,-12.449999809265137,25.5,29.25,209.57638549804688,,,,,,,,0.0,0.0,0.0,,,,,,,,11.640000343322754,56.599998474121094,,674
12667,,,,,,,,,,,,,,,,,-1.9057846069335938,9.27034854888916,2.0685901641845703,0.0037247880827635527,-0.03831210732460022,0.21976250410079956,-15.149999618530273,24.299999237060547,29.850000381469727,209.57638549804688,2001,3,0,0,2,21,,0.0,0.0,0.0,,,,,,,,11.630000114440918,56.59000015258789,,671
433,,,,,,,,,,,,,,,,,-3.7636849880218506,9.500192642211914,2.8203697204589844,-0.30170783400535583,0.13515660166740417,-0.10056927800178528,-5.699999809265137,25.649999618530273,26.399999618530273,209.4326171875,,,,,,,,,,,,,,,,,,,,,
947,,,,,,,,,,,,,,,,,-4.041412353515625,8.461109161376953,1.8291701078414917,0.11067941784858704,0.14367039501667023,-0.009578026831150055,-4.349999904632568,25.049999237060547,27.299999237060547,209.09716796875,,,,,,,,0.0,0.0,0.0,,,,,,,,11.670000076293945,56.529998779296875,,679
1477,938.75,3385.0,3170.0,16.37129020690918,,,,,,,,,,,,,-3.9695863723754883,8.33182144165039,1.2832920551300049,0.23040474951267242,0.03618365526199341,0.2756343185901642,-2.8499999046325684,26.549999237060547,21.899999618530273,209.6243133544922,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,11.739999771118164,56.529998779296875,,672
2149,,,,,2020,8,2,0,0,2,0.0,0.0,0.0,0.0,0.0,0,-2.2697031497955322,9.667786598205566,0.5746083855628967,0.07715632766485214,0.6853610277175903,-0.05533970892429352,-14.25,24.899999618530273,26.399999618530273,209.6243133544922,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,11.760000228881836,56.529998779296875,,668
